ref,pin,pin_name,net,x_mm,y_mm
J1,1,5V_IN,5V_SYS,16.00,69.00
J1,10,GPIO23_MISO,ESP_MISO_3V3,38.86,69.00
J1,11,EN,ESP_EN_SPARE,41.40,69.00
J1,12,GND,GND,43.94,69.00
J1,2,GND,GND,18.54,69.00
J1,3,3V3,3V3,21.08,69.00
J1,4,GPIO14_INT,ESP_INT_3V3,23.62,69.00
J1,5,GPIO16_LTE_RX,LTE_TXD_TO_ESP,26.16,69.00
J1,6,GPIO17_LTE_TX,ESP_TXD_TO_LTE,28.70,69.00
J1,7,GPIO20_CS,ESP_CS_3V3,31.24,69.00
J1,8,GPIO21_SCK,ESP_SCK_3V3,33.78,69.00
J1,9,GPIO22_MOSI,ESP_MOSI_3V3,36.32,69.00
J2,1,VCC5,5V_SYS,103.00,62.00
J2,2,GND,GND,103.00,59.46
J2,3,INT,MCP_INT_5V,103.00,56.92
J2,4,CS,MCP_CS_5V,103.00,54.38
J2,5,SCK,MCP_SCK_5V,103.00,51.84
J2,6,SI_MOSI,MCP_MOSI_5V,103.00,49.30
J2,7,SO_MISO,MCP_MISO_5V,103.00,46.76
J2,8,CAN_H,CAN_H,103.00,44.22
J2,9,CAN_L,CAN_L,103.00,41.68
J3,1,VBAT,LTE_VBAT,22.00,20.00
J3,2,GND,GND,24.54,20.00
J3,3,TXD,LTE_TXD_TO_ESP,27.08,20.00
J3,4,RXD,ESP_TXD_TO_LTE,29.62,20.00
J3,5,PWRKEY,LTE_PWRKEY,32.16,20.00
J3,6,RESET_N,LTE_RESET_N_SPARE,34.70,20.00
J3,7,NETLIGHT,LTE_NETLIGHT_SPARE,37.24,20.00
J3,8,GND,GND,39.78,20.00
J4,1,OBD16_12V,OBD_12V,7.00,45.40
J4,2,OBD4_GND,GND,7.00,40.32
J4,3,OBD6_CANH,CAN_H,7.00,35.24
J4,4,OBD14_CANL,CAN_L,7.00,30.16
J4,5,OBD5_GND,GND,7.00,25.08
J4,6,IGN_SPARE,IGN_SPARE,7.00,20.00
J5,1,VIN+,OBD_12V,112.00,30.20
J5,2,VIN-,GND,112.00,25.12
J5,3,OUT+,5V_SYS,112.00,20.04
J5,4,OUT-,GND,112.00,14.96
J6,1,LTE_VBAT,LTE_VBAT,22.00,8.00
J6,2,GND,GND,27.08,8.00
MH1,1,M3_NPTH,NPTH,8.00,8.00
MH2,1,M3_NPTH,NPTH,114.00,8.00
MH3,1,M3_NPTH,NPTH,8.00,74.00
MH4,1,M3_NPTH,NPTH,114.00,74.00
SW1,1,PWRKEY,LTE_PWRKEY,48.00,20.00
SW1,2,GND,GND,54.00,20.00
U1,A1,VCCA,3V3,58.00,58.00
U1,A10,NC,NC,58.00,35.14
U1,A2,GND,GND,58.00,55.46
U1,A3,A_INT,ESP_INT_3V3,58.00,52.92
U1,A4,A_CS,ESP_CS_3V3,58.00,50.38
U1,A5,A_SCK,ESP_SCK_3V3,58.00,47.84
U1,A6,A_MOSI,ESP_MOSI_3V3,58.00,45.30
U1,A7,A_MISO,ESP_MISO_3V3,58.00,42.76
U1,A8,OE,3V3,58.00,40.22
U1,A9,NC,NC,58.00,37.68
U1,B1,VCCB,5V_SYS,68.16,58.00
U1,B10,NC,NC,68.16,35.14
U1,B2,GND,GND,68.16,55.46
U1,B3,B_INT,MCP_INT_5V,68.16,52.92
U1,B4,B_CS,MCP_CS_5V,68.16,50.38
U1,B5,B_SCK,MCP_SCK_5V,68.16,47.84
U1,B6,B_MOSI,MCP_MOSI_5V,68.16,45.30
U1,B7,B_MISO,MCP_MISO_5V,68.16,42.76
U1,B8,NC,NC,68.16,40.22
U1,B9,NC,NC,68.16,37.68
